epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6558,1.2696,4.00954,1.30203,0.003,0.85714,0.02028,0.01269,0.93337,4.15823,1.16398,8e-05,8e-05,8e-05
2,84.2193,0.99312,3.56802,1.03601,0.0035,1,0.22705,0.1554,0.87619,3.84176,0.91483,0.000178218,0.000178218,0.000178218
3,121.977,0.87385,3.08305,0.90551,0.0035,1,0.60258,0.38464,0.82868,3.60592,0.83125,0.000274456,0.000274456,0.000274456
4,159.449,0.94934,2.69785,0.86608,0.0035,1,0.77663,0.55916,0.87055,3.59526,0.83367,0.000368714,0.000368714,0.000368714
5,197.296,0.94435,2.27099,0.89706,0.0035,1,0.81119,0.60871,0.81844,3.67321,0.83967,0.000460992,0.000460992,0.000460992
6,234.613,0.92995,1.88542,0.91567,0.00333,0.95238,0.62574,0.4401,1.05705,3.75337,0.93684,0.00055129,0.00055129,0.00055129
7,271.731,0.93014,1.73996,0.91589,0.00333,0.95238,0.17715,0.13979,1.17955,4.07627,1.20945,0.000639608,0.000639608,0.000639608
8,309.206,0.93078,1.57522,0.8918,0.003,0.85714,0.05748,0.04057,1.31266,4.42473,1.32454,0.000725946,0.000725946,0.000725946
9,346.888,0.88513,1.56942,0.93321,0.00233,0.66667,0.00307,0.00195,1.15499,4.58499,1.36273,0.000810304,0.000810304,0.000810304
10,384.026,0.83875,1.61835,0.91769,0.003,0.85714,0.02882,0.01798,0.96643,4.09938,1.17737,0.000892682,0.000892682,0.000892682
11,421.308,0.86298,1.54238,0.93653,0.00333,0.95238,0.07553,0.03962,0.92902,3.77029,1.07431,0.00097308,0.00097308,0.00097308
12,458.589,0.8676,1.50009,0.91474,0.20431,0.19048,0.21431,0.1185,0.90897,3.56455,1.01516,0.0010515,0.0010515,0.0010515
13,496.298,0.86887,1.45217,0.94309,0.00333,0.95238,0.09519,0.05691,0.86045,3.49022,0.99408,0.00112794,0.00112794,0.00112794
14,533.357,0.81495,1.34397,0.94231,0.00333,0.95238,0.07895,0.03166,0.85376,3.46698,1.02171,0.00120239,0.00120239,0.00120239
15,570.852,0.84368,1.32565,0.96318,0.0035,1,0.17754,0.14971,0.85579,3.39056,1.00814,0.00127487,0.00127487,0.00127487
16,608.013,0.8384,1.26667,0.94162,0.86481,0.19048,0.22797,0.18707,0.90192,3.42774,1.02047,0.00134537,0.00134537,0.00134537
17,645.142,0.85113,1.20347,0.94953,0.00333,0.95238,0.12634,0.09854,0.90956,3.45127,1.03504,0.00141389,0.00141389,0.00141389
18,682.525,0.88841,1.20824,1.00228,0.00333,0.95238,0.32721,0.26777,0.83343,3.39689,1.04223,0.00148043,0.00148043,0.00148043
19,725.208,0.87774,1.20748,0.96237,0.70528,0.38095,0.39884,0.32952,0.88019,3.48374,1.08399,0.00154498,0.00154498,0.00154498
20,765.518,0.9167,1.23769,0.97189,1,0.3061,0.67067,0.53727,0.89322,3.16279,1.11198,0.00160756,0.00160756,0.00160756
21,805.209,0.83405,1.14257,0.9634,1,0.38201,0.85185,0.63832,0.84745,2.9457,1.06664,0.001604,0.001604,0.001604
22,845.99,0.8048,1.06266,0.93388,1,0.60242,0.87963,0.68051,0.87706,2.80158,1.05724,0.0015842,0.0015842,0.0015842
23,885.354,0.82282,1.03402,0.96651,1,0.68096,0.95202,0.68766,0.9792,2.63131,1.05073,0.0015644,0.0015644,0.0015644
24,924.97,0.76643,1.02696,0.92784,1,0.64737,0.90675,0.72466,0.77044,2.52946,0.96523,0.0015446,0.0015446,0.0015446
25,965.918,0.8368,1.0312,0.98315,1,0.76442,0.91047,0.71342,0.84963,2.50335,1.00526,0.0015248,0.0015248,0.0015248
26,1006.63,0.78935,1.04319,0.90954,1,0.80556,0.91445,0.75221,0.82726,2.29192,1.04211,0.001505,0.001505,0.001505
27,1046.95,0.78627,0.92608,0.90036,1,0.8786,0.96754,0.76165,0.85779,1.94563,1.00462,0.0014852,0.0014852,0.0014852
28,1086.92,0.78975,0.94083,0.92355,0.95342,1,0.98864,0.77658,0.82388,1.65018,0.98425,0.0014654,0.0014654,0.0014654
29,1126.81,0.72611,0.91534,0.92489,1,0.94954,0.9886,0.77784,0.81712,1.52607,0.99483,0.0014456,0.0014456,0.0014456
30,1166.81,0.73696,0.91724,0.94389,0.95099,1,0.99318,0.80325,0.75335,1.39957,0.9516,0.0014258,0.0014258,0.0014258
31,1206.66,0.74304,0.91277,0.93658,0.99374,1,0.995,0.80203,0.80805,1.44536,0.97489,0.001406,0.001406,0.001406
32,1246.45,0.77123,0.9058,0.90349,1,0.99145,0.995,0.82198,0.73209,1.45667,0.97374,0.0013862,0.0013862,0.0013862
33,1287.56,0.71877,0.89594,0.89851,1,0.991,0.995,0.80414,0.74192,1.43057,0.96937,0.0013664,0.0013664,0.0013664
34,1327.77,0.72772,0.87453,0.90329,1,0.99075,0.995,0.79022,0.81644,1.29176,1.00291,0.0013466,0.0013466,0.0013466
